Season,Date,HomeTeam,AwayTeam,StandingDiff,HomeWins,AwayWins,HomeDraws,AwayDraws,HomeHalfTimeWins,AwayHalfTimeWins,HomeHalfTimeDraws,AwayHalfTimeDraws,HomeAvgGoals,AwayAvgGoals,HomeAvgHalfTimeGoals,AwayAvgHalfTimeGoals,HomeAvgShots,AwayAvgShots,HomeAvgShotsOnTarget,AwayAvgShotsOnTarget
2022,2022-05-15,Leeds,Brighton,-7,1.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,0.6,1.4,0.4,0.4,8.2,10.8,2.6,4.4
2022,2022-05-15,Watford,Leicester,13,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.8,0.8,0.4,0.4,11.4,8.4,2.6,2.6
2022,2022-05-15,West Ham,Man City,5,3.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,1.4,2.4,0.4,1.2,12.8,16.8,4.8,5.8
2022,2022-05-15,Wolves,Norwich,-5,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.8,0.6,1.4,0.2,10.6,10.2,4.4,3.2
2022,2022-05-15,Everton,Brentford,-8,3.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,0.8,2.0,0.2,0.4,9.2,14.0,3.0,5.4
2022,2022-05-16,Newcastle,Arsenal,4,4.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.2,1.2,0.8,0.6,11.0,14.0,4.2,4.8
2022,2022-05-17,Southampton,Liverpool,12,1.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,0.8,1.8,0.8,0.8,9.6,14.8,3.8,6.4
2022,2022-05-19,Everton,Crystal Palace,-4,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.2,1.2,0.6,0.4,9.6,12.6,3.6,4.4
2022,2022-05-19,Aston Villa,Burnley,-6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.6,0.4,0.2,12.0,11.8,4.6,2.6
2022,2022-05-19,Chelsea,Leicester,-1,2.0,1.0,1.0,2.0,0.0,2.0,5.0,2.0,1.4,1.8,0.4,0.8,17.0,9.8,4.8,3.4
2022,2022-05-22,Arsenal,Everton,-2,3.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,1.6,1.0,1.0,0.8,16.6,12.8,6.0,3.2
2022,2022-05-22,Brentford,Leeds,9,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.4,1.4,0.4,0.2,13.4,11.2,3.8,3.8
2022,2022-05-22,Brighton,West Ham,10,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.2,1.0,0.6,0.8,15.8,8.6,3.6,2.8
2022,2022-05-22,Burnley,Newcastle,5,3.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.4,0.8,0.6,0.6,12.0,10.4,4.4,3.8
2022,2022-05-22,Chelsea,Watford,-14,1.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,1.4,0.6,0.6,0.6,19.4,6.8,5.6,2.0
2022,2022-05-22,Crystal Palace,Man United,-4,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.4,0.8,0.4,11.2,9.6,4.8,3.4
2022,2022-05-22,Leicester,Southampton,-10,3.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.6,0.6,1.0,0.2,13.0,14.6,5.2,3.8
2022,2022-05-22,Liverpool,Wolves,-10,4.0,1.0,1.0,1.0,3.0,0.0,2.0,5.0,2.0,0.6,0.8,0.0,19.2,11.4,4.0,2.8
2022,2022-05-22,Man City,Aston Villa,-10,4.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.8,1.6,1.8,0.6,18.8,13.2,7.4,6.2
2022,2022-05-22,Norwich,Tottenham,11,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.8,1.8,0.2,0.6,10.8,11.0,4.0,3.6
